Regions,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Republic of Uzbekistan,88007,89388,90050,90617,90660,90152,89360,87946,87412,73692,49011,46089,62081,111082,105215
Republic of Karakalpakstan,3312,3233,3182,3189,3425,3164,3107,3042,3456,2861,1968,1870,2092,3306,3367
Andijan,5665,5563,5716,5710,5683,5676,5643,5640,5678,4507,3494,3361,4618,6930,7231
Bukhara,4248,4369,4349,4199,4251,4237,4400,4364,4356,4204,2972,2720,3570,5267,5175
Jizzakh,2485,2569,2462,2436,2434,2424,2616,2612,2585,2348,1878,1836,1775,2731,2865
Kashkadarya,4984,5407,5535,5522,5577,5762,5746,5836,5864,4493,2918,2804,3508,5813,5810
Navoi,3373,3362,3357,3355,3419,3408,3400,3394,3386,3083,2067,1857,1943,2998,2965
Namangan,4941,5744,5686,5628,5571,5564,5546,5540,5528,4605,3498,3320,4235,7054,7212
Samarkand,7763,7747,7739,7579,7548,7511,7487,7484,7735,7691,5215,5016,5307,7505,7727
Surkhandarya,3267,3945,3941,3922,3935,4095,4089,4081,4072,3106,2322,2280,3176,5041,4995
Syrdarya,2711,2705,2925,4098,3960,3915,3815,3868,3385,2591,1295,1261,1681,3138,3405
Tashkent,9870,9833,9725,9717,9707,9693,9681,9666,9651,8320,6240,5816,7261,11957,12259
Fergana,9044,9032,8985,8954,9539,9516,9506,9498,9483,8126,5362,5079,10952,19903,15182
Khorezm,3858,3861,3489,3453,3522,3769,3763,3760,3754,2909,1771,1734,2698,2929,2905
Tashkent city,20578,20114,21061,20720,19961,19301,18617,17233,16877,14030,7148,6718,8657,25543,22791
Unlocated data,1908,1904,1898,2135,2128,2117,1944,1928,1602,818,863,417,608,967,1326
