Regions,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Republic of Uzbekistan,54.6,55.3,55.9,56.6,57.3,58.0,58.6,59.4,60.3,61.3,62.4,64.9,65.8,66.8,67.9,69.1,70.3,71.5,72.7,74.1,75.51774060627658,77.0,78.6,80.23720432981425
Republic of Karakalpakstan,9.0,9.2,9.2,9.3,9.4,9.4,9.4,9.5,9.6,9.7,9.8,10.1,10.2,10.3,10.4,10.6,10.8,10.9,11.1,11.2,11.395041719190827,11.5,11.7,11.862656822138183
Andijan,520.5,527.7,535.1,542.8,549.8,557.8,552.5,560.4,570.0,581.4,592.8,621.5,631.2,641.0,652.4,664.5,676.9,689.0,700.4,713.2,727.3720930232558,741.4,756.2,772.7209302325581
Bukhara,35.2,35.7,36.1,36.6,37.0,37.4,37.8,38.3,38.8,39.4,40.0,41.8,42.3,42.9,43.6,44.3,45.0,45.7,46.4,47.1,47.834410740924916,48.4,49.2,49.967677772252614
Jizzakh,46.0,46.8,47.4,48.1,48.6,49.2,49.6,50.2,50.9,51.8,52.7,55.0,55.9,56.8,57.8,58.9,60.2,61.3,62.5,63.8,65.16265912305515,66.5,68.1,69.56624233851956
Kashkadarya,75.8,77.4,78.8,80.2,81.7,83.2,84.7,86.2,87.8,89.7,91.6,95.3,97.2,99.1,101.3,103.6,105.9,108.1,110.2,112.5,114.81974098704936,116.7,119.3,121.88659432971649
Navoi,7.1,7.1,7.2,7.2,7.2,7.3,7.3,7.4,7.5,7.6,7.7,7.9,7.9,8.0,8.1,8.2,8.4,8.5,8.6,8.8,8.975605365019353,9.1,9.3,9.5004500450045
Namangan,260.0,263.9,267.9,272.1,276.0,280.2,282.7,286.9,292.2,298.0,303.6,319.8,325.3,330.5,336.6,343.3,349.9,356.5,362.8,370.0,377.7956989247312,385.4,394.0,402.88978494623655
Samarkand,158.9,161.3,163.7,166.0,168.2,170.7,173.4,176.2,179.1,182.6,186.0,195.0,198.3,201.6,205.5,209.6,213.7,217.8,221.8,226.5,231.2104949314252,235.4,240.3,245.56946929039952
Surkhandarya,86.4,88.1,89.6,91.3,92.7,94.3,95.8,97.4,99.1,101.2,103.2,108.2,110.4,112.5,114.8,117.3,120.0,122.5,125.1,127.9,130.80099502487562,133.4,136.5,139.62686567164178
Syrdarya,149.3,151.1,152.8,154.4,155.5,156.3,158.2,159.9,161.9,164.3,166.9,169.9,172.8,175.4,178.5,181.6,184.7,187.6,190.6,193.9,197.73364485981307,201.1,205.5,209.4859813084112
Tashkent,153.6,154.9,156.2,157.6,158.8,160.3,161.7,163.3,165.4,167.4,169.5,173.4,175.1,176.8,178.7,180.9,183.2,185.5,187.6,190.1,192.91147540983607,195.1,194.3,197.71466314398944
Fergana,397.7,402.6,407.4,412.8,417.8,424.0,425.9,432.0,439.7,447.1,454.8,477.7,485.3,492.6,501.0,509.6,518.5,527.3,535.5,544.9,555.0295857988166,565.1,576.5,588.2100591715977
Khorezm,217.0,220.9,224.5,228.0,231.2,234.9,240.3,244.3,248.6,253.0,258.1,264.6,269.3,273.4,278.4,283.6,288.7,293.7,298.3,303.4,308.5123966942149,312.9,317.9,323.6528925619835
Tashkent city,6472.2,6458.8,6454.9,6462.7,6451.3,6452.1,6466.9,6516.9,6586.1,6665.5,6750.2,6875.7,6914.1,7008.8,7044.6,7099.6,7165.2,7257.9,7380.0,7514.9,7699.604790419162,7554.4,6379.1,6599.071428571429
